6.000000000000000000e+02 5.276240266097729545e+02 1.216308444729769711e+01 -7.626380021953168761e-03 9.040152765017855896e-05 -6.020993792640100040e+00 7.759942664641461150e-04 -4.241848946960547135e-05 -5.838405728624396565e-03 9.348300400612431608e-05 -4.476203510637415676e-05 5.157739298409572939e+02 5.843885191581624561e+00 -4.981232488614453953e-04 4.267988430177742967e-05 1.164610928434704462e+01 -3.073826465245235663e-04 8.320196930238761372e-05 -1.560913254420387029e-03 4.503584527731041792e-05 8.671095400148370142e-05
6.100000000000000000e+02 5.301044481702978146e+02 1.216249845378397154e+01 -7.629762057703940586e-03 9.015384800121513517e-05 -6.020201374991476229e+00 7.782371698160473828e-04 -4.320944774258161664e-05 -5.834640033334063253e-03 9.296716956897820917e-05 -4.483003558995848686e-05 5.157548316737750156e+02 5.845013001275226827e+00 -4.869108779531661256e-04 4.225644877154799558e-05 1.164760839887624044e+01 -3.149025226603251095e-04 8.436736369708599799e-05 -1.557447248530395264e-03 4.490877462270123302e-05 8.661086923721321299e-05
6.200000000000000000e+02 5.325411595368021835e+02 1.216154584334860900e+01 -7.633759814898753888e-03 9.007165378135783944e-05 -6.019363369923562246e+00 7.837727597182588598e-04 -4.300768459931846792e-05 -5.830978331158807523e-03 9.256579010333180568e-05 -4.512378788442552262e-05 5.157617908200942338e+02 5.845991304046434855e+00 -4.871685336341762982e-04 4.195845375680320939e-05 1.164892545182623529e+01 -3.222383404968966018e-04 8.474329564648586089e-05 -1.550834442938029420e-03 4.483178992801720137e-05 8.671446599682018912e-05
6.300000000000000000e+02 5.349238968865607831e+02 1.216074463365803915e+01 -7.651452930543641701e-03 8.977292344818583244e-05 -6.018694465676828642e+00 7.929558235257676800e-04 -4.284204315106851426e-05 -5.834769438539565839e-03 9.260963144586915126e-05 -4.531850209142808785e-05 5.157661443297358801e+02 5.846848107445770992e+00 -4.903634971458379049e-04 4.177231900734744007e-05 1.165018228201653550e+01 -3.297589633098479966e-04 8.504779433253717913e-05 -1.547302021924936658e-03 4.457884667060249632e-05 8.681041007999940788e-05
6.400000000000000000e+02 5.372416860807009016e+02 1.215990861285337488e+01 -7.655337197062749705e-03 8.981797571197388727e-05 -6.018133961894924333e+00 7.948224697023301318e-04 -4.329050695776558958e-05 -5.841137923483668594e-03 9.224362439030939860e-05 -4.527840836729180073e-05 5.157679189258703900e+02 5.847588787927270104e+00 -4.960248844263289054e-04 4.162132756007010548e-05 1.165130777770491477e+01 -3.360056228568370222e-04 8.513993379315659476e-05 -1.543966178829996299e-03 4.442555097475729632e-05 8.691665922332950849e-05
6.500000000000000000e+02 5.394912477069044598e+02 1.215873750038994849e+01 -7.656661829783310141e-03 8.989085248532928461e-05 -6.017510393939478952e+00 7.982035396550329421e-04 -4.337576640942896654e-05 -5.844498376876639326e-03 9.197121568341507479e-05 -4.530625727695604930e-05 5.157630643063674825e+02 5.848226644603650826e+00 -4.999413159213178092e-04 4.151663889166944111e-05 1.165234869257875339e+01 -3.405300992126918482e-04 8.511608941361721960e-05 -1.539859073727778849e-03 4.437876745969058004e-05 8.696809540152181778e-05
6.600000000000000000e+02 5.416919329132641678e+02 1.215760606365893892e+01 -7.668765216154255215e-03 8.988907006022315920e-05 -6.016935668472694232e+00 8.077165037004993770e-04 -4.323285931292883991e-05 -5.849701704709329639e-03 9.204110513872111577e-05 -4.547553884446312299e-05 5.157671889278639128e+02 5.848757565435512618e+00 -5.037644593849749082e-04 4.146611787089129629e-05 1.165337284848177823e+01 -3.457626014613165706e-04 8.520821062966360082e-05 -1.536787467026979334e-03 4.421649772601213681e-05 8.700011367396839142e-05
6.700000000000000000e+02 5.438452310849047535e+02 1.215647399856984912e+01 -7.684157575277182281e-03 8.980353706405104876e-05 -6.016245806494192827e+00 8.076487657005291350e-04 -4.280695831741310534e-05 -5.855304576368669349e-03 9.161240060844011435e-05 -4.557213879734241761e-05 5.157747666828861384e+02 5.849216856878082460e+00 -5.096332057521582625e-04 4.144133511100399456e-05 1.165426028376524314e+01 -3.511698589579938419e-04 8.537984430587380132e-05 -1.534177193603484006e-03 4.423162895511608105e-05 8.697683351582660607e-05
6.800000000000000000e+02 5.459535357161179263e+02 1.215541926657466121e+01 -7.699849394502399427e-03 8.969164632956005490e-05 -6.015696160858926334e+00 8.189355563632210290e-04 -4.273643832921006510e-05 -5.863949483455337640e-03 9.155027066308171237e-05 -4.555672575518204847e-05 5.157860930048007049e+02 5.849557049816215937e+00 -5.156840483848366963e-04 4.142527789384892076e-05 1.165506467046194494e+01 -3.566996326722964776e-04 8.546526430248569555e-05 -1.531363667057640239e-03 4.425121990968876659e-05 8.696929620173383566e-05
6.900000000000000000e+02 5.480201889911245416e+02 1.215429310692727327e+01 -7.710851557743005763e-03 8.962877923262146539e-05 -6.015111724555677775e+00 8.199015471450656328e-04 -4.259923236134518148e-05 -5.871700968885006609e-03 9.140021978253917235e-05 -4.551310217562585955e-05 5.157997608472765023e+02 5.849865463625330442e+00 -5.207227939520525867e-04 4.143801885571143126e-05 1.165579452263399318e+01 -3.609620178716981443e-04 8.570883598427186554e-05 -1.529308649794117441e-03 4.440043135655186564e-05 8.692467708977274132e-05
7.000000000000000000e+02 5.500427792851305639e+02 1.215306760865744096e+01 -7.723046744258707519e-03 8.958031242698035693e-05 -6.014579931313368988e+00 8.249775541418727549e-04 -4.259682850599598339e-05 -5.877628203342650202e-03 9.128756651241336435e-05 -4.541917639785448033e-05 5.158123714324368621e+02 5.850085692680430327e+00 -5.266088168290259915e-04 4.144182182821238777e-05 1.165640659556996717e+01 -3.673901165007057747e-04 8.571819359791307260e-05 -1.527312549258953277e-03 4.456981246682526913e-05 8.690537815586702147e-05
7.100000000000000000e+02 5.520249417489724237e+02 1.215180884362614400e+01 -7.734015649199706480e-03 8.951507403267189213e-05 -6.014003928540073929e+00 8.304231919335722809e-04 -4.249918855185116912e-05 -5.884930646391934791e-03 9.111373835645413628e-05 -4.536077230600897304e-05 5.158227910611274183e+02 5.850272932863746611e+00 -5.323554763395898235e-04 4.143888173799892451e-05 1.165699668116096710e+01 -3.743528100979053659e-04 8.571751928676928502e-05 -1.524296783155629827e-03 4.469756454154401499e-05 8.690268450141248999e-05
7.200000000000000000e+02 5.539646642171619533e+02 1.215060999692773436e+01 -7.739830616464296771e-03 8.960291701360014610e-05 -6.013460368324986760e+00 8.315617486824760166e-04 -4.234800288446760960e-05 -5.890508636539758432e-03 9.079424076283352358e-05 -4.526861812521782059e-05 5.158283471964685987e+02 5.850494708635054941e+00 -5.348221059939192723e-04 4.154061915724923261e-05 1.165750654636000760e+01 -3.775232774983480820e-04 8.583133338610767307e-05 -1.522647472558096406e-03 4.470804825775715131e-05 8.682253708888450563e-05
